City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
teeli,47,RU,1579998955,68,51.03,90.23,1.18,2.13
ahuimanu,75,US,1579998955,69,21.44,-157.84,80.6,10.29
bonanza,25,NI,1579998955,75,14.03,-84.59,71.55,2.98
bredasdorp,31,ZA,1579999031,63,-34.53,20.04,64.4,12.75
vila,40,PT,1579998953,100,42.03,-8.16,50.0,5.82
ketchikan,90,US,1579998837,87,55.34,-131.65,46.4,19.46
inuvik,90,CA,1579998773,69,68.35,-133.72,-13.0,14.99
neath,75,GB,1579999032,100,51.66,-3.8,46.99,6.93
kendari,69,ID,1579999032,83,-3.94,122.5,81.66,1.23
butaritari,12,KI,1579998927,72,3.07,172.79,85.03,10.56
simao,0,CN,1579999033,77,22.79,100.97,39.09,2.44
new norfolk,40,AU,1579998766,60,-42.78,147.06,75.0,8.05
mahebourg,40,MU,1579999033,78,-20.41,57.7,77.0,12.75
birao,79,CF,1579999033,18,10.28,22.79,61.2,13.53
yarovoye,22,RU,1579999034,90,52.93,78.58,4.28,12.77
vila franca do campo,40,PT,1579998828,87,37.72,-25.43,57.2,4.7
northam,93,GB,1579999034,94,51.03,-4.22,46.99,5.01
wattegama,62,LK,1579999034,93,6.8,81.48,68.59,4.29
kapaa,40,US,1579998959,74,22.08,-159.32,78.8,10.29
along,0,IN,1579998914,67,28.17,94.77,38.93,5.1
jiayuguan,0,CN,1579999035,63,39.82,98.3,17.47,7.83
longyearbyen,0,SJ,1579999035,59,78.22,15.64,-0.4,5.82
faya,40,SA,1579999035,87,18.39,42.45,46.4,6.78
corinto,20,GR,1579998960,93,37.94,22.96,53.01,3.15
pokhara,20,NP,1579998859,79,28.23,83.98,46.45,1.48
husavik,90,IS,1579999035,92,66.04,-17.34,30.2,8.05
copiapo,23,CL,1579998923,56,-27.37,-70.33,73.4,9.17
victoria,75,HK,1579999035,93,22.29,114.16,59.0,27.51
rio grande,71,BR,1579998888,92,-32.03,-52.1,72.0,6.13
chernaya kholunitsa,97,RU,1579999036,96,58.85,51.72,16.48,4.34
pisco,75,PE,1579999036,83,-13.7,-76.22,77.0,21.92
bethel,90,US,1579998373,93,41.37,-73.41,50.0,3.36
emerald,90,AU,1579999036,100,-23.53,148.17,77.0,8.05
chenzhou,100,CN,1579999036,91,25.8,113.03,40.8,9.98
kingsland,1,US,1579999036,58,30.8,-81.69,57.2,6.15
jennings,75,US,1579998918,69,38.72,-90.26,35.01,6.93
nikolskoye,40,RU,1579998920,86,59.7,30.79,30.99,4.47
taoudenni,44,ML,1579999037,18,22.68,-3.98,71.82,7.18
nemuro,20,JP,1579999037,52,43.32,145.57,15.8,2.24
merauke,34,ID,1579999037,61,-8.47,140.33,89.01,3.09
norman wells,40,CA,1579999037,63,65.28,-126.83,-11.2,13.87
maracacume,100,BR,1579998894,97,-2.04,-45.96,75.22,3.71
iqaluit,5,CA,1579999037,67,63.75,-68.51,-27.0,13.87
nizwa,98,OM,1579999037,77,22.93,57.53,60.49,4.12
redondo,10,PT,1579999037,91,38.65,-7.55,45.0,1.99
kulhudhuffushi,100,MV,1579999037,66,6.62,73.07,82.44,6.44
saint-philippe,75,RE,1579999037,78,-21.36,55.77,73.4,8.05
krasnomayskiy,100,RU,1579999038,78,57.62,34.41,27.5,11.45
touros,75,BR,1579998956,83,-5.2,-35.46,82.4,5.82
omsukchan,100,RU,1579999038,100,62.53,155.8,-30.5,9.44
laguna,1,US,1579999038,82,38.42,-121.42,60.8,4.7
yumen,0,CN,1579999038,69,40.28,97.2,13.01,2.66
songjianghe,0,CN,1579999038,78,42.19,127.48,8.17,3.58
faanui,22,PF,1579999038,76,-16.48,-151.75,82.45,11.21
bambous virieux,40,MU,1579999042,78,-20.34,57.76,77.0,12.75
dumas,1,US,1579999042,40,35.87,-101.97,55.4,4.7
kosh-agach,13,RU,1579999042,74,50.0,88.67,-3.62,1.92
puerto rico,0,AR,1579999042,47,-26.8,-55.02,75.07,3.89
eyl,89,SO,1579999043,82,7.98,49.82,79.05,20.13
lashio,0,MM,1579999043,61,22.93,97.75,42.08,3.2
manoel urbano,62,BR,1579999043,75,-8.84,-69.26,79.05,0.96
ekhabi,0,RU,1579999043,84,53.51,142.97,-12.23,18.37
lehututu,6,BW,1579999043,48,-23.97,21.87,74.73,12.62
lagoa,100,PT,1579999033,67,39.05,-27.98,58.33,10.18
sheboygan,90,US,1579999043,97,43.73,-87.93,35.01,8.05
havre-saint-pierre,90,CA,1579998777,92,50.23,-63.6,10.4,6.53
katsuura,75,JP,1579999039,93,35.13,140.3,39.99,8.05
